96,Cm,curium,no data,no data,,,
97,Bk,berkelium,no data,no data,,,
98,Cf,californium,no data,no data,,,
99,Es,einsteinium,no data,no data,,,
100,Fm,fermium,no data,no data,,,
101,Md,mendelevium,no data,no data,,,
102,No,nobelium,no data,no data,,,
103,Lr,lawrencium,no data,no data,,,
104,Rf,rutherfordium,no data,no data,,,
105,Db,dubnium,no data,no data,,,
106,Sg,seaborgium,no data,no data,,,
107,Bh,bohrium,no data,no data,,,
108,Hs,hassium,no data,no data,,,
109,Mt,meitnerium,no data,no data,,,
110,Ds,darmstadtium,no data,no data,,,
111,Rg,roentgenium,no data,no data,,,
112,Cn,copernicium,no data,no data,,,
113,Nh,nihonium,no data,no data,,,
114,Fl,flerovium,no data,no data,,,
115,Mc,moscovium,no data,no data,,,
116,Lv,livermorium,no data,no data,,,
117,Ts,tennessine,no data,no data,,,
118,Og,oganesson,no data,no data,,,
